image,eventLabel,date,event,participants,article_en
,,,http://www.wikidata.org/entity/Q117406977,Sarybagysh; Q25584852,
,,,http://www.wikidata.org/entity/Q117468670,Lydia; Miletus,
http://commons.wikimedia.org/wiki/Special:FilePath/Screengrab%20of%20refugee%20camp%20from%20Number%20of%20Refugees%20Who%20Fled%20Sudan%20for%20Chad%20Double%20in%20Week.jpg,War in Sudan,2023-01-01T00:00:00Z,http://www.wikidata.org/entity/Q117716414,Rapid Support Forces; Sudanese Armed Forces,https://en.wikipedia.org/wiki/War_in_Sudan_(2023)
,,,http://www.wikidata.org/entity/Q1178424,liberalism and radicalism in Spain; Carlism; Carlist army,
,,,http://www.wikidata.org/entity/Q1178498,Ottoman Empire; Polish–Lithuanian Commonwealth,
,,,http://www.wikidata.org/entity/Q118189627,Dzungar Khanate; Qing dynasty; Kumul Khanate; Q4466458; Khalkhas; Mongols in China,
http://commons.wikimedia.org/wiki/Special:FilePath/Jackson%20and%20Weatherford.jpg,Creek War,1814-08-01T00:00:00Z,http://www.wikidata.org/entity/Q1186260,Andrew Jackson; Menawa; William McIntosh; John Coffee; United States of America; Red Sticks; Peter McQueen; Choctaw; William Weatherford; Muscogee; Cherokee,https://en.wikipedia.org/wiki/Creek_War
,,,http://www.wikidata.org/entity/Q11871384,Republic of China; Mongolia,
http://commons.wikimedia.org/wiki/Special:FilePath/Gosannen%20kassen%20ekotoba%20-%20Scroll%201%20part%2013.jpg,Gosannen War,1083-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1187411,Kiyohara no Iehira; Fujiwara no Kiyohira; Q11560514; Minamoto no Yoshiie,https://en.wikipedia.org/wiki/Gosannen_War
,Zenkunen War,1051-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1187448,Abe clan; Minamoto no Yoshiie; Minamoto no Yoriyoshi,https://en.wikipedia.org/wiki/Former_Nine_Years%27_War
,,,http://www.wikidata.org/entity/Q11893060,Parthian Empire; Ancient Rome,
http://commons.wikimedia.org/wiki/Special:FilePath/EntradadeJaimeIenMurcia.jpg,Conquest of Murcia,1265-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11915301,Crown of Aragon; Order of Santiago; Taifa of Murcia; Crown of Castile,https://en.wikipedia.org/wiki/Conquest_of_Murcia_(1265%E2%80%9366)
,,,http://www.wikidata.org/entity/Q11924841,Ancient Rome,
,,,http://www.wikidata.org/entity/Q11924845,Argos; Arcadia; Messenia Prefecture; Ancient Elis; Lepreon; Ancient Corinth; Sparta; Sicyon,
,,,http://www.wikidata.org/entity/Q11926812,Vandals,
